Saved Date,Job Url,Job Title,Company Name
"5/22/24, 4:10 PM",http://www.linkedin.com/jobs/view/3859458519,"Principal, Product Innovation",Ensemble Health Partners
"5/15/24, 9:51 PM",http://www.linkedin.com/jobs/view/3921748184,Technical Program Manager - GPU Cloud Infrastructure,NVIDIA
"4/25/24, 7:22 PM",http://www.linkedin.com/jobs/view/3831662221,"Senior Director, Analytics",Brightcove
"4/26/24, 6:15 PM",http://www.linkedin.com/jobs/view/3905907384,CTO/Founding Engineer,Neurality Health
"5/17/24, 8:18 PM",http://www.linkedin.com/jobs/view/3900905163,Software Engineering Manager,Healthcare.com
"4/25/24, 7:03 AM",http://www.linkedin.com/jobs/view/3904681427,Software Development Senior Director,Oracle
"5/19/24, 7:26 AM",http://www.linkedin.com/jobs/view/3863882032,Director of Data and Analytics,Jaipur Living
"5/5/24, 7:25 PM",http://www.linkedin.com/jobs/view/3917964598,Artificial Intelligence Vice President,Arrow Search Partners
"4/27/24, 10:48 AM",http://www.linkedin.com/jobs/view/3797539916,"Engineering Manager, Enterprise Applications",Coinbase
"4/27/24, 11:22 AM",http://www.linkedin.com/jobs/view/3860986518,,
"6/6/24, 7:50 PM",http://www.linkedin.com/jobs/view/3933376064,Sr. Data Engineer,Qcells North America
"5/5/24, 7:42 PM",http://www.linkedin.com/jobs/view/3914152386,Senior Engineering Manager,Norstella
"5/5/24, 7:41 PM",http://www.linkedin.com/jobs/view/3891907449,Life Science Consulting Partner,The Dedham Group
"5/7/24, 6:25 AM",http://www.linkedin.com/jobs/view/3864408278,Director Product Accelerator Program Manager,Honeywell
"5/15/24, 10:20 AM",http://www.linkedin.com/jobs/view/3901664312,"Data Cloud Architect, Data Science",Snowflake
"5/14/24, 3:52 PM",http://www.linkedin.com/jobs/view/3838964156,"Associate Director, Clinical Data Management Standards & Systems",Genmab
"6/5/24, 1:09 AM",http://www.linkedin.com/jobs/view/3850986470,Staff ML Ops Technical Lead,Dolby Laboratories
"4/25/24, 7:27 AM",http://www.linkedin.com/jobs/view/3905920797,"Director, Solutions Architecture",Centene Corporation
"4/27/24, 11:08 AM",http://www.linkedin.com/jobs/view/3883548903,VP of Systems Integrators & Technology Partnerships,"Cradlepoint, part of Ericsson"
"5/20/24, 10:12 AM",http://www.linkedin.com/jobs/view/3909059104,"VP, Team Manager - CIO Advisory - Remote USA",Gartner
"5/17/24, 3:35 PM",http://www.linkedin.com/jobs/view/3892895220,"Director, Consulting, Healthcare - Sr. Program Management",Gartner
"6/10/24, 8:22 PM",http://www.linkedin.com/jobs/view/3863366497,Senior Director of Professional Services,JFrog
"5/30/24, 5:55 PM",http://www.linkedin.com/jobs/view/3932725854,Data Architect,"Noridian Healthcare Solutions, LLC"
"4/25/24, 7:20 PM",http://www.linkedin.com/jobs/view/3876187314,"Sr. Director, Data Strategy & Analytics",Academic Partnerships
"5/15/24, 10:10 AM",http://www.linkedin.com/jobs/view/3846206721,Director of AI Science – LLM,GE HealthCare
"6/8/24, 12:50 AM",http://www.linkedin.com/jobs/view/3934518511,,
